,lncRNA_name,lncRNA_score,lncRNA_label
0,OIP5-AS1,0.9999591112136841,1.0
1,NORAD,0.9999538660049438,1.0
2,RAD51-AS1,0.9999488592147827,1.0
3,MALAT1,0.9999479055404663,1.0
4,AC087521.1,0.9999434947967529,1.0
5,EMX2OS,0.9999434947967529,0.0
6,DRAIC,0.9999433755874634,1.0
7,GAS5,0.9999409914016724,1.0
8,SBF2-AS1,0.9999395608901978,1.0
9,WT1-AS,0.9999353885650635,1.0
10,SNHG15,0.9999328851699829,1.0
11,MAPKAPK5-AS1,0.9999291896820068,1.0
12,VIM-AS1,0.9999287128448486,0.0
13,DNM3OS,0.9999274015426636,1.0
14,BANCR,0.9999266862869263,1.0
15,FGD5-AS1,0.999924898147583,1.0
16,ATP6V0E2-AS1,0.9999239444732666,0.0
17,MAGI2-AS3,0.9999234676361084,1.0
18,LINC00963,0.9999231100082397,0.0
19,HOTTIP,0.9999226331710815,1.0
20,TP53TG1,0.9999223947525024,0.0
21,LINC00707,0.9999223947525024,1.0
22,DHRS4-AS1,0.9999219179153442,0.0
23,LINC00661,0.9999215602874756,0.0
24,ENTPD1-AS1,0.999921441078186,0.0
25,DCTN1-AS1,0.9999212026596069,0.0
26,SNHG8,0.9999207258224487,1.0
27,LINC00311,0.9999203681945801,0.0
28,PAN3-AS1,0.999920129776001,0.0
29,SNHG5,0.999920129776001,1.0
30,DIO3OS,0.9999195337295532,1.0
31,STXBP5-AS1,0.9999191761016846,0.0
32,SNHG7,0.9999185800552368,1.0
33,LINC00294,0.9999181032180786,0.0
34,AC007952.4,0.9999169111251831,0.0
35,IPO9-AS1,0.9999165534973145,0.0
36,ARHGAP5-AS1,0.9999164342880249,0.0
37,SPAG5-AS1,0.9999163150787354,0.0
38,ADPGK-AS1,0.9999157190322876,0.0
39,ZEB1-AS1,0.9999140501022339,1.0
40,MKNK1-AS1,0.9999138116836548,0.0
41,LINC00667,0.999913215637207,0.0
42,LINC00852,0.9999128580093384,0.0
43,LINC-ROR,0.9999127388000488,1.0
44,PTOV1-AS1,0.9999125003814697,0.0
45,ASH1L-AS1,0.9999120235443115,0.0
46,TTC28-AS1,0.999911904335022,0.0
47,STEAP3-AS1,0.9999116659164429,1.0
48,SNHG12,0.9999116659164429,1.0
49,PAXBP1-AS1,0.9999114274978638,0.0
50,ZNF503-AS2,0.9999113082885742,0.0
