,mRNA_name,mRNA_score,mRNA_label
0,NFIX,0.999893069267273,0.0
1,WIF1,0.9998873472213745,1.0
2,RGMB,0.9998844861984253,0.0
3,HOXA9,0.9998843669891357,0.0
4,SECISBP2L,0.9998809099197388,1.0
5,DLC1,0.9998807907104492,0.0
6,CSGALNACT1,0.9998797178268433,0.0
7,MT1E,0.9998791217803955,0.0
8,FGFR1,0.9998791217803955,0.0
9,STEAP4,0.9998772144317627,1.0
10,CRISP3,0.9998753070831299,0.0
11,ARRB1,0.9998753070831299,1.0
12,TIMP3,0.9998719692230225,0.0
13,TTN,0.9998713731765747,0.0
14,UPB1,0.999871015548706,1.0
15,AIF1L,0.9998708963394165,0.0
16,TRIB2,0.9998698234558105,0.0
17,HYAL1,0.9998691082000732,0.0
18,FBN1,0.9998689889907837,0.0
19,LDLR,0.9998676776885986,0.0
20,MOXD1,0.9998675584793091,0.0
21,MID1,0.9998674392700195,0.0
22,LRP1B,0.9998664855957031,0.0
23,HGF,0.999866247177124,0.0
24,MT-ND1,0.9998660087585449,0.0
25,NEDD9,0.9998658895492554,0.0
26,DDAH1,0.9998651742935181,0.0
27,NR4A1,0.9998648166656494,1.0
28,NCKAP5,0.9998646974563599,0.0
29,FAH,0.9998646974563599,0.0
30,PTPRB,0.9998645782470703,0.0
31,HOXA5,0.9998644590377808,0.0
32,SEMA3D,0.9998642206192017,0.0
33,MT-ND2,0.9998639822006226,0.0
34,ARHGAP29,0.9998621940612793,1.0
35,SLC26A2,0.9998615980148315,0.0
36,SETD7,0.9998612403869629,0.0
37,SOCS3,0.9998611211776733,0.0
38,ACTC1,0.9998610019683838,0.0
39,SGMS2,0.999860405921936,1.0
40,BNC2,0.9998599290847778,0.0
41,STC1,0.9998594522476196,0.0
42,CMTM4,0.9998593330383301,1.0
43,MT-CYB,0.999859094619751,0.0
44,GFPT2,0.9998587369918823,0.0
45,ABAT,0.9998584985733032,0.0
46,PHACTR1,0.9998581409454346,1.0
47,NUAK1,0.9998579025268555,0.0
48,UNC13B,0.9998579025268555,0.0
49,EGR3,0.9998577833175659,1.0
50,TMEM8B,0.9998576641082764,0.0
51,FERMT2,0.9998568296432495,0.0
52,RRAGD,0.9998565912246704,0.0
53,HMGCL,0.9998553991317749,0.0
54,MITF,0.9998552799224854,0.0
55,NR4A2,0.9998552799224854,1.0
56,SLC12A1,0.9998537302017212,0.0
57,MXRA7,0.9998537302017212,0.0
58,TTPAL,0.9998536109924316,1.0
59,JUN,0.9998530149459839,0.0
